"","letter1","letter2","frequency"
"1","A","A",79794787
"2","B","A",4122472992
"3","C","A",15174413181
"4","D","A",4259590348
"5","E","A",19403941063
"6","F","A",4624241031
"7","G","A",4175274057
"8","H","A",26103411208
"9","I","A",8072199471
"10","J","A",729206855
"11","K","A",478095427
"12","L","A",14874551789
"13","M","A",15938689768
"14","N","A",9790855551
"15","O","A",1620913259
"16","P","A",9123652775
"17","Q","A",4298294
"18","R","A",19332539912
"19","S","A",6147356936
"20","T","A",14941000711
"21","U","A",3844138094
"22","V","A",3946966167
"23","W","A",10865206430
"24","X","A",834649781
"25","Y","A",444542870
"26","Z","A",702199296
"27","A","B",6479202253
"28","B","B",308276690
"29","C","B",17751935
"30","D","B",78190243
"31","E","B",763383542
"32","F","B",7730842
"33","G","B",13944852
"34","H","B",123778334
"35","I","B",2780268452
"36","J","B",2126115
"37","K","B",25406204
"38","L","B",188643782
"39","M","B",2544901434
"40","N","B",122258836
"41","O","B",2725791138
"42","P","B",36901495
"43","Q","B",1083443
"44","R","B",753194669
"45","S","B",223212317
"46","T","B",71746167
"47","U","B",2497666762
"48","V","B",2496014
"49","W","B",29929113
"50","X","B",2164724
"51","Y","B",121220723
"52","Z","B",5858211
"53","A","C",12625666388
"54","B","C",53278096
"55","C","C",2344219345
"56","D","C",71030077
"57","E","C",13457763533
"58","F","C",16254390
"59","G","C",6455066
"60","H","C",34631551
"61","I","C",19701195496
"62","J","C",3447571
"63","K","C",6326022
"64","L","C",333338045
"65","M","C",121591374
"66","N","C",11722631112
"67","O","C",4692062395
"68","P","C",33156666
"69","Q","C",1127399
"70","R","C",3422694015
"71","S","C",4363410770
"72","T","C",736955048
"73","U","C",5291161134
"74","V","C",6570845
"75","W","C",19008254
"76","X","C",746076293
"77","Y","C",380670476
"78","Z","C",2100797
"79","A","D",10375130449
"80","B","D",69761165
"81","C","D",62905910
"82","D","D",1205446875
"83","E","D",32937140633
"84","F","D",13966832
"85","G","D",89087728
"86","H","D",80544316
"87","I","D",8332214014
"88","J","D",2615147
"89","K","D",18894758
"90","L","D",7122648226
"91","M","D",18929019
"92","N","D",38129777631
"93","O","D",5511014957
"94","P","D",33798376
"95","Q","D",519921
"96","R","D",5338083783
"97","S","D",148275222
"98","T","D",36539510
"99","U","D",2577213760
"100","V","D",8430332
"101","W","D",99767462
"102","X","D",168263
"103","Y","D",192245315
"104","Z","D",1415016
"105","A","E",349540062
"106","B","E",16249257887
"107","C","E",18367773425
"108","D","E",21565300071
"109","E","E",10647199443
"110","F","E",6670566518
"111","G","E",10861045622
"112","H","E",86697336727
"113","I","E",10845731320
"114","J","E",1463052212
"115","K","E",6027536039
"116","L","E",23382173640
"117","M","E",22360109325
"118","N","E",19504235770
"119","O","E",1089254517
"120","P","E",13477683504
"121","Q","E",572443
"122","R","E",52285662239
"123","S","E",26282488562
"124","T","E",33973261529
"125","U","E",4158448570
"126","V","E",23270129573
"127","W","E",10176141608
"128","X","E",614533122
"129","Y","E",2612941418
"130","Z","E",1402290616
"131","A","F",2092395523
"132","B","F",4108696
"133","C","F",39704311
"134","D","F",78347492
"135","E","F",4588497002
"136","F","F",4125634219
"137","G","F",33962536
"138","H","F",63249924
"139","I","F",5731148470
"140","J","F",2421784
"141","K","F",44759608
"142","L","F",1507867867
"143","M","F",107664447
"144","N","F",1894270041
"145","O","F",33130341561
"146","P","F",41022263
"147","Q","F",947879
"148","R","F",909634941
"149","S","F",483979931
"150","T","F",159626603
"151","U","F",522547858
"152","V","F",1550317
"153","W","F",45330551
"154","X","F",52374239
"155","Y","F",21246637
"156","Z","F",608389
"157","A","G",5772552144
"158","B","G",7203255
"159","C","G",24975673
"160","D","G",874188188
"161","E","G",3370515965
"162","F","G",14424524
"163","G","G",697999944
"164","H","G",7789748
"165","I","G",7189051323
"166","J","G",1034900
"167","K","G",72267691
"168","L","G",171657388
"169","M","G",34537023
"170","N","G",26871805511
"171","O","G",2651165734
"172","P","G",13354952
"173","Q","G",0
"174","R","G",2813274913
"175","S","G",69588685
"176","T","G",55522877
"177","U","G",3606562400
"178","V","G",2960268
"179","W","G",2751783
"180","X","G",542548
"181","Y","G",73102462
"182","Z","G",4726653
"183","A","H",384694919
"184","B","H",29797934
"185","C","H",16854985236
"186","D","H",153344431
"187","E","H",742240059
"188","F","H",5166165
"189","G","H",6414827751
"190","H","H",14730425
"191","I","H",58966344
"192","J","H",3541869
"193","K","H",89811517
"194","L","H",45643026
"195","M","H",15033898
"196","N","H",306883963
"197","O","H",602121281
"198","P","H",2661480326
"199","Q","H",263509
"200","R","H",426095630
"201","S","H",8888705287
"202","T","H",100272945963
"203","U","H",30097154
"204","V","H",2691078
"205","W","H",10680697684
"206","X","H",117618666
"207","Y","H",14682887
"208","Z","H",18782710
"209","A","I",8922759715
"210","B","I",3005679357
"211","C","I",7936922442
"212","D","I",13899990598
"213","E","I",5169898489
"214","F","I",8024355222
"215","G","I",4275639800
"216","H","I",21520845924
"217","I","I",642384029
"218","J","I",77899882
"219","K","I",2759841743
"220","L","I",17604626629
