WTP,"Base Prime","Prevention 1","Prevention 2"
0,-9.3,-12.4,-13.5
100,-8.4,-11.2,-12.3
200,-7.6,-10.1,-11.2
300,-6.7,-9,-10
400,-5.9,-7.8,-8.9
500,-5.1,-6.7,-7.8
600,-4.2,-5.6,-6.6
700,-3.4,-4.4,-5.5
800,-2.5,-3.3,-4.3
900,-1.7,-2.2,-3.2
1000,-0.8,-1,-2
1100,0,0.1,-0.9
1200,0.9,1.2,0.3
1300,1.7,2.3,1.4
1400,2.6,3.5,2.6
1500,3.4,4.6,3.7
1600,4.3,5.7,4.9
1700,5.1,6.9,6
1800,6,8,7.1
1900,6.8,9.1,8.3
2000,7.6,10.3,9.4
2100,8.5,11.4,10.6
2200,9.3,12.5,11.7
2300,10.2,13.7,12.9
2400,11,14.8,14
2500,11.9,15.9,15.2
2600,12.7,17,16.3
2700,13.6,18.2,17.5
2800,14.4,19.3,18.6
2900,15.3,20.4,19.8
3000,16.1,21.6,20.9
3100,17,22.7,22.1
3200,17.8,23.8,23.2
3300,18.7,25,24.3
3400,19.5,26.1,25.5
3500,20.3,27.2,26.6
3600,21.2,28.4,27.8
3700,22,29.5,28.9
3800,22.9,30.6,30.1
3900,23.7,31.8,31.2
4000,24.6,32.9,32.4
4100,25.4,34,33.5
4200,26.3,35.1,34.7
4300,27.1,36.3,35.8
4400,28,37.4,37
4500,28.8,38.5,38.1
4600,29.7,39.7,39.2
4700,30.5,40.8,40.4
4800,31.4,41.9,41.5
4900,32.2,43.1,42.7
5000,33,44.2,43.8
5100,33.9,45.3,45
5200,34.7,46.5,46.1
5300,35.6,47.6,47.3
5400,36.4,48.7,48.4
5500,37.3,49.8,49.6
5600,38.1,51,50.7
5700,39,52.1,51.9
5800,39.8,53.2,53
5900,40.7,54.4,54.1
6000,41.5,55.5,55.3
6100,42.4,56.6,56.4
6200,43.2,57.8,57.6
6300,44.1,58.9,58.7
6400,44.9,60,59.9
6500,45.7,61.2,61
6600,46.6,62.3,62.2
6700,47.4,63.4,63.3
6800,48.3,64.6,64.5
6900,49.1,65.7,65.6
7000,50,66.8,66.8
7100,50.8,67.9,67.9
7200,51.7,69.1,69.1
7300,52.5,70.2,70.2
7400,53.4,71.3,71.3
7500,54.2,72.5,72.5
7600,55.1,73.6,73.6
7700,55.9,74.7,74.8
7800,56.8,75.9,75.9
7900,57.6,77,77.1
8000,58.4,78.1,78.2
8100,59.3,79.3,79.4
8200,60.1,80.4,80.5
8300,61,81.5,81.7
8400,61.8,82.6,82.8
8500,62.7,83.8,84
8600,63.5,84.9,85.1
8700,64.4,86,86.2
8800,65.2,87.2,87.4
8900,66.1,88.3,88.5
9000,66.9,89.4,89.7
9100,67.8,90.6,90.8
9200,68.6,91.7,92
9300,69.5,92.8,93.1
9400,70.3,94,94.3
9500,71.1,95.1,95.4
9600,72,96.2,96.6
9700,72.8,97.3,97.7
9800,73.7,98.5,98.9
9900,74.5,99.6,100
10000,75.4,100.7,101.1
