,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,0,,,,,,0
"Base Prime",8467,9.29,,,,,9.29
"Prevention 1",11310,12.36,,,,,12.36
"Prevention 2",11463,13.48,,,,,13.48
,-10000,,-6.6,,,,
,200000,,132,,,,
,5461,,,5.198,,,
,10557,,,10.654,,,
,11740,,,11.149,,,
,10983,,,10.502,,,
,9804,,,11.089,,,
,10228,,,5.652,,,
,13354,,,10.708,,,
,14893,,,10.799,,,
,3602,,,10.346,,,
,13224,,,10.321,,,
,9142,,,7.265,,,
,8522,,,9.091,,,
,8050,,,9.953,,,
,8336,,,7.922,,,
,10665,,,11.441,,,
,4821,,,8.754,,,
,13771,,,10.61,,,
,3844,,,7.642,,,
,16953,,,10.06,,,
,10918,,,10.721,,,
,7017,,,6.063,,,
,7575,,,7.178,,,
,4908,,,9.576,,,
,4654,,,8.415,,,
,7687,,,9.293,,,
,5280,,,9.472,,,
,4469,,,8.883,,,
,9274,,,11.358,,,
,11688,,,8.578,,,
,10791,,,11.342,,,
,10947,,,10.43,,,
,9069,,,6.647,,,
,11603,,,10.945,,,
,9202,,,10.793,,,
,4779,,,10.054,,,
,9756,,,11.141,,,
,14613,,,7.488,,,
,9217,,,9.091,,,
,4038,,,11.245,,,
,9733,,,6.254,,,
,15511,,,10.467,,,
,11830,,,8.665,,,
,11391,,,11.33,,,
,10041,,,8.994,,,
,12317,,,8.431,,,
,13477,,,8.67,,,
,12528,,,10.991,,,
,3691,,,8.232,,,
,9422,,,7.28,,,
,10820,,,11.806,,,
,7125,,,9.589,,,
,8753,,,10.495,,,
,12758,,,7.218,,,
,6774,,,7.221,,,
,8804,,,7.432,,,
,6586,,,6.59,,,
,4873,,,6.063,,,
,9223,,,9.127,,,
,7600,,,9.99,,,
,8154,,,8.066,,,
,5015,,,10.509,,,
,8028,,,11.073,,,
,8829,,,10.09,,,
,11369,,,10.635,,,
,11405,,,10.792,,,
,7029,,,4.59,,,
,6646,,,10.452,,,
,11198,,,10.649,,,
,10509,,,6.782,,,
,16443,,,10.801,,,
,5056,,,7.06,,,
,6949,,,10.005,,,
,8468,,,11.417,,,
