,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,0,,,,,,0
"Base Prime",16189,4.73,,,,,
"Prevention 1",24753,5.94,,,,,5.94
"Prevention 2",25919,7.02,,,,,7.02
,-10000,,-6.6,,,,
,200000,,132,,,,
,12021,,,1.866,,,
,10791,,,4.026,,,
,17364,,,2.299,,,
,6208,,,-0.45,,,
,13983,,,4.032,,,
,23995,,,4.764,,,
,18952,,,3.49,,,
,17601,,,5.705,,,
,27344,,,5.231,,,
,8391,,,3.635,,,
,13211,,,2.858,,,
,18897,,,2.961,,,
,11627,,,4.131,,,
,12920,,,3.508,,,
,19985,,,4.865,,,
,12726,,,2.59,,,
,10464,,,3.775,,,
,5979,,,-3.761,,,
,17783,,,4.132,,,
,13422,,,3.348,,,
,17278,,,-0.398,,,
,17586,,,1.393,,,
,22696,,,6.7,,,
,28561,,,7.084,,,
,9464,,,5.713,,,
,15600,,,1.684,,,
,13952,,,2.526,,,
,10448,,,4.144,,,
,27121,,,6.077,,,
,10875,,,1.043,,,
,17935,,,6.226,,,
,19763,,,4.535,,,
,20245,,,2.482,,,
,18229,,,5.349,,,
,19718,,,6.245,,,
,22979,,,4.412,,,
,19465,,,4.627,,,
,11743,,,2.808,,,
,23366,,,5.933,,,
,18322,,,-0.726,,,
,12438,,,3.128,,,
,12577,,,3.311,,,
,11195,,,4.024,,,
,23433,,,6.168,,,
,25846,,,9.151,,,
,20775,,,3.698,,,
,24497,,,2.193,,,
,13567,,,1.536,,,
,15603,,,1.458,,,
,12892,,,4.22,,,
,15320,,,5.626,,,
,15054,,,5.946,,,
,18332,,,3.997,,,
,9128,,,3.744,,,
,14350,,,6.199,,,
,4586,,,1.931,,,
,12885,,,8.119,,,
,17516,,,0.057,,,
,19809,,,5.747,,,
,14137,,,8.418,,,
,26056,,,5.636,,,
,13355,,,8.519,,,
,18511,,,4.63,,,
,29263,,,3.002,,,
,12909,,,2.412,,,
,19372,,,2.71,,,
