WTP,"Base Prime","Prevention 1","Prevention 2"
0,-4.7,-5.9,-7
100,-3.1,-3.5,-4.4
200,-1.5,-1,-1.8
300,0.1,1.5,0.8
400,1.7,4,3.4
500,3.4,6.4,5.9
600,5,8.9,8.5
700,6.6,11.4,11.1
800,8.2,13.9,13.7
900,9.8,16.3,16.3
1000,11.5,18.8,18.9
1100,13.1,21.3,21.5
1200,14.7,23.8,24.1
1300,16.3,26.2,26.7
1400,17.9,28.7,29.3
1500,19.6,31.2,31.9
1600,21.2,33.7,34.5
1700,22.8,36.1,37
1800,24.4,38.6,39.6
1900,26,41.1,42.2
2000,27.6,43.6,44.8
2100,29.3,46,47.4
2200,30.9,48.5,50
2300,32.5,51,52.6
2400,34.1,53.5,55.2
2500,35.7,55.9,57.8
2600,37.4,58.4,60.4
2700,39,60.9,63
2800,40.6,63.4,65.6
2900,42.2,65.8,68.1
3000,43.8,68.3,70.7
3100,45.5,70.8,73.3
3200,47.1,73.3,75.9
3300,48.7,75.7,78.5
3400,50.3,78.2,81.1
3500,51.9,80.7,83.7
3600,53.5,83.2,86.3
3700,55.2,85.6,88.9
3800,56.8,88.1,91.5
3900,58.4,90.6,94.1
4000,60,93.1,96.7
4100,61.6,95.5,99.3
4200,63.3,98,101.8
4300,64.9,100.5,104.4
4400,66.5,103,107
4500,68.1,105.4,109.6
4600,69.7,107.9,112.2
4700,71.4,110.4,114.8
4800,73,112.9,117.4
4900,74.6,115.4,120
5000,76.2,117.8,122.6
5100,77.8,120.3,125.2
5200,79.5,122.8,127.8
5300,81.1,125.3,130.4
5400,82.7,127.7,132.9
5500,84.3,130.2,135.5
5600,85.9,132.7,138.1
5700,87.5,135.2,140.7
5800,89.2,137.6,143.3
5900,90.8,140.1,145.9
6000,92.4,142.6,148.5
6100,94,145.1,151.1
6200,95.6,147.5,153.7
6300,97.3,150,156.3
6400,98.9,152.5,158.9
6500,100.5,155,161.5
6600,102.1,157.4,164
6700,103.7,159.9,166.6
6800,105.4,162.4,169.2
6900,107,164.9,171.8
7000,108.6,167.3,174.4
7100,110.2,169.8,177
7200,111.8,172.3,179.6
7300,113.4,174.8,182.2
7400,115.1,177.2,184.8
7500,116.7,179.7,187.4
7600,118.3,182.2,190
7700,119.9,184.7,192.6
7800,121.5,187.1,195.1
7900,123.2,189.6,197.7
8000,124.8,192.1,200.3
8100,126.4,194.6,202.9
8200,128,197,205.5
8300,129.6,199.5,208.1
8400,131.3,202,210.7
8500,132.9,204.5,213.3
8600,134.5,206.9,215.9
8700,136.1,209.4,218.5
8800,137.7,211.9,221.1
8900,139.4,214.4,223.7
9000,141,216.8,226.3
9100,142.6,219.3,228.8
9200,144.2,221.8,231.4
9300,145.8,224.3,234
9400,147.4,226.7,236.6
9500,149.1,229.2,239.2
9600,150.7,231.7,241.8
9700,152.3,234.2,244.4
9800,153.9,236.6,247
9900,155.5,239.1,249.6
10000,157.2,241.6,252.2
