"Sexually Inactive, 15-20","Sexually Inactive, 21-26","Sexually Inactive, 27-32","Sexually Inactive, 33-38","Sexually Inactive, 39-42","Careful Sex, 15-20","Careful Sex, 21-26","Careful Sex, 27-32","Careful Sex, 33-38","Careful Sex, 39-42","Unsafe Sex, 15-20","Unsafe Sex, 21-26","Unsafe Sex, 27-32","Unsafe Sex, 33-38","Unsafe Sex, 39-42",Seeking Pregnancy,Pregnant
0.19,0.73,0.62,0.448157995,0.40313911,0.57,0.89,0.72,0.62,0.66,0.44,0.60,0.59,0.52,0.46,0.72,0.07
2.915,2.694,3.072,5.266,4.651,4.169,3.340,3.665,3.794,3.847,4.256,4.217,3.844,4.637,6.544,3.06,4.352
0,2,0,0,0,4,5,2,7,1,1,0,0,2,0,3,0
2,3,0,0,0,3,5,4,5,5,0,2,0,15,1,2,0
0,2,4,5,4,0,6,0,0,3,4,6,5,0,0,2,0
0,0,1,1,2,2,0,7,0,1,0,1,0,1,8,0,0
3,1,2,0,0,16,4,5,5,0,,0,0,0,3,2,3
0,1,1,20,0,2,9,0,0,1,5,0,0,3,1,0,0
1,0,3,7,0,0,5,5,0,1,3,,1,1,0,1,0
0,0,0,5,10,10,2,2,0,2,1,1,0,1,6,2,0
0,2,3,3,0,0,5,3,0,1,0,3,4,0,0,7,0
0,3,1,1,0,0,1,30,2,1,0,0,0,3,2,0,0
0,0,0,4,2,9,1,0,0,1,0,0,4,2,2,3,0
0,0,0,4,0,0,0,1,3,5,0,0,5,2,1,4,0
0,0,2,0,2,0,2,10,1,0,1,4,0,0,2,0,0
0,0,2,1,2,2,2,0,3,3,1,2,0,6,5,1,0
0,5,2,0,10,10,1,1,0,3,0,5,2,3,1,5,0
0,2,1,0,0,0,4,1,2,5,0,2,0,1,0,0,0
0,0,3,0,7,0,1,0,2,2,0,3,3,0,4,0,0
0,0,3,10,4,0,1,5,0,15,0,0,1,1,1,0,0
0,0,5,0,5,7,2,0,26,20,0,3,6,5,2,0,1
0,0,1,0,0,1,1,1,1,0,0,0,0,4,1,5,0
0,0,3,5,0,1,2,10,0,0,0,2,15,2,2,5,0
0,0,0,10,1,4,0,2,0,0,4,1,0,20,1,10,0
0,3,0,0,2,0,5,1,0,1,2,4,2,8,0,2,0
0,5,1,0,0,2,2,3,0,1,0,4,1,0,0,20,0
0,5,3,1,3,3,2,1,2,2,2,0,0,1,3,1,0
2,0,1,5,1,0,5,2,4,2,0,3,3,4,0,0,1
0,0,1,0,0,1,6,1,8,2,0,3,1,1,0,7,1
0,0,3,0,1,,2,2,1,0,20,1,0,1,0,1,1
0,3,3,0,0,2,1,0,4,5,1,5,1,1,2,0,0
0,0,5,2,0,0,0,30,3,0,1,0,0,7,0,0,0
0,0,2,0,0,0,0,2,5,0,2,0,0,1,2,1,0
3,2,0,3,3,0,3,1,1,30,0,0,0,4,5,5,0
0,0,0,0,0,1,3,5,1,0,0,15,2,5,0,3,0
0,5,0,1,0,0,0,3,0,0,0,0,0,7,1,0,0
1,1,0,0,0,0,2,5,0,2,12,5,3,0,0,10,0
0,0,0,0,0,5,5,0,6,1,0,0,2,0,2,2,1
,1,3,2,3,0,3,1,1,2,3,4,2,6,0,0,0
0,5,2,3,0,0,0,15,3,4,1,4,2,0,5,0,0
0,1,0,0,2,3,2,1,7,7,0,4,0,0,1,3,0
0,0,0,3,0,0,0,0,7,3,6,0,1,3,0,0,0
5,0,0,4,1,0,1,4,4,0,4,4,0,1,0,1,0
0,3,0,0,0,3,0,2,0,1,0,0,0,0,30,0,0
0,2,0,0,3,,4,1,0,2,2,2,0,3,6,1,0
0,0,0,2,0,2,5,8,1,2,1,3,0,0,0,5,0
0,0,1,0,1,0,1,,0,4,0,2,0,0,0,2,0
0,0,0,0,0,1,6,0,4,3,1,0,,1,28,4,0
1,2,3,0,0,1,3,1,0,1,0,1,0,5,0,2,0
1,7,1,2,0,20,4,2,0,0,20,0,2,1,0,6,0
0,10,0,1,2,3,10,,4,1,2,2,5,4,0,4,0
0,0,3,2,0,2,1,3,0,0,0,4,0,0,0,0,0
0,0,0,0,0,20,1,0,0,3,9,6,7,0,4,4,1
0,4,0,5,0,0,4,3,7,0,1,0,0,4,0,1,0
1,0,2,7,,5,0,3,1,0,9,0,2,1,1,3,0
0,0,0,5,1,5,0,3,1,3,2,0,1,5,7,0,0
0,4,2,0,0,4,3,12,4,0,4,2,1,1,0,5,0
0,3,0,0,0,3,1,0,3,1,5,1,3,1,20,1,0
3,2,2,6,0,0,,1,4,4,4,6,1,1,2,3,0
0,0,2,0,0,8,1,2,0,0,1,15,0,4,1,2,0
0,1,0,0,2,3,4,0,7,0,2,0,1,0,0,1,0
0,0,5,3,2,0,0,6,4,4,1,1,1,0,2,2,0
0,2,0,5,0,0,3,4,0,2,0,3,3,0,0,1,0
1,0,3,6,3,1,2,5,7,4,1,0,0,0,4,0,0
1,1,1,0,3,0,0,5,4,0,1,1,3,5,0,3,0
0,1,0,0,0,0,1,0,1,0,3,19,20,0,0,3,0
0,,4,0,3,6,6,0,5,0,5,0,,0,2,0,0
1,2,0,0,1,1,2,1,0,7,4,0,1,4,5,1,0
0,0,15,7,0,2,0,0,10,3,3,30,2,7,10,4,0
0,1,3,3,4,0,0,0,1,1,0,5,2,0,2,1,0
0,1,4,8,2,4,1,3,2,1,0,5,0,0,4,0,0
0,0,0,2,3,0,1,4,12,1,0,2,0,6,3,1,0
0,2,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0
0,4,0,0,2,0,2,4,3,5,0,2,6,1,0,20,0
0,1,4,7,0,0,4,4,0,1,0,2,2,2,10,0,0
0,0,0,1,7,3,0,4,2,2,0,6,,0,2,2,0
0,0,2,2,0,1,2,0,0,4,0,0,1,0,25,0,5
0,0,1,3,1,3,0,1,0,0,0,0,0,2,1,2,0
0,3,1,3,2,1,10,0,4,4,0,0,1,0,0,10,0
0,2,5,2,0,1,2,6,0,1,0,4,30,6,2,0,0
0,3,3,1,7,2,5,3,0,1,1,0,3,0,3,1,0
0,0,2,24,0,2,5,1,2,2,1,4,3,0,0,2,0
0,0,1,0,0,3,1,2,1,0,1,1,0,0,10,0,0
0,3,2,1,0,0,0,2,20,4,10,2,3,2,3,1,0
0,12,0,0,10,0,0,3,1,4,0,4,2,0,3,1,0
0,2,0,2,3,1,4,1,2,1,1,3,0,0,2,7,0
1,0,0,0,5,1,1,0,1,8,2,0,0,3,4,2,0
0,7,7,0,5,4,0,2,5,3,12,3,,15,7,0,0
1,5,6,0,4,3,3,20,10,8,4,1,3,0,0,2,0
6,1,3,1,0,0,0,0,0,0,0,0,6,5,5,9,0
0,0,0,0,0,15,2,4,5,15,1,0,0,0,3,0,0
0,5,0,0,3,2,1,1,30,2,1,2,0,0,0,0,0
0,0,0,10,0,0,0,4,3,0,2,0,2,0,7,0,0
0,3,0,3,0,1,5,5,0,1,2,0,0,2,22,2,0
0,2,0,0,2,1,6,15,1,0,2,17,3,0,0,0,0
0,2,3,2,3,2,2,2,1,1,0,7,2,3,2,9,0
0,3,6,1,2,0,0,2,5,1,0,5,3,0,3,0,0
0,5,2,1,0,0,3,0,1,0,4,3,0,10,0,15,0
0,3,1,0,0,15,0,1,2,0,0,2,3,0,2,1,0
0,1,10,3,0,4,3,0,0,2,2,0,4,0,5,2,
0,6,1,2,6,0,1,0,25,0,0,1,9,0,1,4,0
0,0,0,0,1,0,0,5,0,0,1,15,0,2,0,3,0
0,0,0,0,0,1,3,1,4,4,1,1,5,2,0,1,0
0,0,0,4,2,20,0,2,0,1,0,0,1,3,5,2,0
0,3,0,4,4,1,7,2,0,1,0,0,5,0,2,3,0
0,0,1,0,0,6,3,2,8,0,0,8,1,0,2,0,0
