"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
0.736258799,0.944949295,1.03158694,0.973145401,1.142704626,1.083254672,0.134800729,0.227005871,0.254120232,0.279817465,0.427507267,0.520624486,0.884611436,0.658978055
6.677,7.593,6.585,6.74,5.62,5.297,7.678,13.797,12.742,9.642,5.504,6.085,9.741,6.243
28,3,25,0,8,0,3,0,0,0,0,8,0,2
2,4,5,20,9,12,0,28,3,0,0,5,3,7
3,2,3,12,28,8,2,8,0,3,0,30,5,2
7,10,2,0,1,2,0,4,1,0,2,0,4,1
6,5,2,15,2,4,0,0,10,0,0,0,12,30
8,10,4,10,4,5,0,0,0,1,0,12,5,0
0,25,1,3,8,6,0,0,3,0,16,0,15,4
4,10,8,0,2,4,0,0,1,1,0,0,10,0
0,3,20,6,5,5,1,0,2,6,1,8,32,3
2,4,7,1,7,28,0,0,12,0,1,0,20,0
5,12,1,2,10,0,0,0,0,0,12,0,5,4
1,0,20,2,4,1,0,10,4,2,2,3,8,1
3,6,20,10,2,5,12,12,0,1,1,4,7,3
0,6,10,1,4,3,1,2,0,0,1,0,3,4
0,10,10,4,8,5,0,0,5,5,4,5,3,0
6,0,0,12,3,4,0,5,1,0,16,14,15,11
20,10,12,10,6,0,8,15,0,3,3,0,12,0
20,0,10,2,2,4,0,1,12,10,0,4,2,0
1,2,0,0,1,8,0,1,1,0,0,0,7,0
10,20,2,8,8,30,0,,3,1,0,0,1,4
2,2,10,6,25,8,1,0,4,0,1,0,8,4
20,0,12,20,6,8,0,2,0,0,8,0,6,7
4,8,5,2,0,7,0,0,0,0,0,1,10,2
0,5,6,2,8,7,1,10,2,0,4,0,0,13
6,3,3,0,10,6,0,2,0,21,2,20,12,0
2,10,3,20,8,15,1,30,0,0,2,5,0,5
12,0,10,5,30,0,0,0,0,0,4,2,5,0
0,2,4,3,12,6,0,0,0,0,0,2,10,12
10,6,21,15,0,4,0,2,0,20,0,1,8,8
0,12,12,5,3,5,0,0,12,6,3,4,0,3
0,5,5,0,0,4,0,0,0,0,1,4,5,1
7,6,15,20,1,3,0,4,10,4,2,0,12,2
0,3,2,5,5,0,0,2,0,12,4,0,6,12
0,6,0,1,20,15,1,0,4,1,14,15,5,1
0,1,4,8,15,6,0,4,0,3,2,4,1,6
1,3,10,1,12,1,0,10,12,0,3,4,3,4
0,1,2,6,2,3,0,30,6,0,2,0,0,2
0,7,6,10,0,4,1,0,0,5,0,0,20,0
0,0,6,8,10,3,3,4,1,14,0,0,2,4
0,25,2,3,12,7,1,4,0,0,0,1,0,0
8,16,8,0,12,4,0,0,3,0,0,0,12,0
1,4,2,2,,1,0,0,0,5,6,20,4,2
10,10,2,2,8,6,2,0,1,0,0,0,1,0
0,20,7,4,3,0,0,3,4,0,0,1,2,1
6,10,4,2,1,8,5,1,0,3,6,15,4,0
4,0,16,5,8,2,0,0,0,0,2,4,15,0
8,10,7,10,7,5,0,0,4,8,12,,6,4
0,20,30,6,4,2,0,1,10,1,2,0,10,7
4,10,0,1,3,12,0,0,0,0,0,10,3,0
10,10,25,0,4,1,0,0,3,0,0,2,2,16
10,12,2,16,4,0,0,0,1,0,0,2,6,1
5,15,9,4,5,1,20,0,2,20,0,6,15,
