"Elimination 2","Elimination 1","Base Prime",Base,"No Intervention"
174.5406,439.7843,1364.862,1194.406,1773
16.46609,59.45394,350.1478,318.6954,473
12.07513,50.71071,978.9847,1138.526,1690
3.293218,20.98374,716.2114,997.6774,1481
3.293218,36.72155,2535.811,3705.44,5986
0,18.36077,1026.083,462.8611,2289
0,10.49187,676.5843,227.348,1581
0,0,90.94748,22.70928,248
0,0,16.56543,7.144493,76
0,0,1.624062,0,6
0,0,2.273687,0.510321,13
0,0,16.24062,23.2196,328
0,0,39.95193,188.5636,2480
0,0,342.3523,3561.274,17155
0,0,2240.231,5278.249,11915
0,0,955.923,681.0232,1622
0,0,3261.767,1167.359,2469
0,0,1800.111,750.4269,1454
0,0,3173.418,3093.82,5499
0,0,893.8838,1617.462,2699
0,0,423.8802,1504.936,2365
0,0,52.2948,270.2149,407
0,0,12.34287,105.6364,150
0,0,0.324812,8.675455,16
0,0,0,17.60607,21
0,0,1.29925,822.8924,915
0,0,3.248124,5224.41,6157
0,0,21.11281,11906.55,27901
0,0,151.3626,3739.632,14691
0,0,91.59711,686.6368,2067
69.70763,241.2649,1986.055,1775.981,1561
0,4.203221,42.23402,46.52096,41
11.61794,68.09218,2071.578,2224.822,1956
1.659705,3.362577,110.8643,136.5476,120
0.829853,16.81288,1321.925,1939.235,1705
0,6.725154,865.2694,1549.407,1362
0,6.725154,1043.18,2042.184,1795
0,0,96.61031,174.8844,154
0,4.203221,787.1365,2301.065,2023
0,0.840644,300.3894,931.2808,819
0,3.362577,1612.284,6053.325,5337
0,0,190.0531,655.1702,580
0,0,386.4412,1355.569,1250
0,0.840644,115.0877,418.6887,391
0,0,421.8122,2002.986,1778
0,0,8.974728,46.09021,42
0,0,335.2325,2498.779,2259
0,0,10.5585,144.7319,130
0,0,192.1648,2423.398,2089
0,0,125.6462,2264.451,1916
0,0,162.601,3214.685,2736
0,0,13.19813,276.972,222
0,0,125.1183,3856.502,3423
0,0,40.12231,1527.008,1382
0,2.521933,264.4905,9532.49,8508
0,0.840644,30.61966,1041.122,923
0,0,80.24463,2099.905,1887
0,0,19.53323,637.0787,584
0,0,85.52388,2866.208,2669
0,0,2.111701,59.8742,47
23.28441,49.22942,153.5915,137.8613,134
51.2257,176.721,2337.543,2333.878,2267
4.656881,21.45898,410.4999,419.0514,391
0,16.40981,308.1055,369.4526,374
0,13.88522,1126.799,1764.859,1758
2.328441,17.6721,2305.257,4217.071,4170
0,1.262293,203.8662,330.789,365
0,0,608.3701,1249.734,1276
0,2.524586,757.8105,1843.358,1904
0,1.262293,389.7443,988.0709,1025
0,0,221.8544,752.1836,781
0,0,854.2087,3654.3,3731
0,0,49.81347,191.3655,211
0,0,125.4561,709.6146,717
0,0,18.44943,153.0924,145
0,0,342.237,4780.623,4625
0,0,66.41796,937.3005,920
0,0,45.20111,869.7367,852
0,0,199.2539,3983.136,3811
0,0,481.5302,7587.838,7484
0,0,50.73594,547.1491,559
0,0,159.1264,1769.545,1775
0,0,252.296,2465.491,2451
0,0,127.7623,1295.427,1335
0,0,71.03032,1024.391,1043
0,0,291.0398,4974.332,5073
0,0,15.68202,271.4266,284
0,0,39.20505,1053.682,1020
0,0,10.60842,239.4022,220
0,0,121.7663,7326.565,7010
78.00341,175.663,443.3676,359.4977,363
52.93089,83.3655,318.0079,324.9739,328
41.78754,107.1842,872.9087,890.1133,898
25.07252,65.50146,1056.339,1330.292,1342
8.357508,38.70541,1102.888,1632.75,1648
0,50.61477,2186.42,3698.173,3741
0,43.17142,1996.076,3594.602,3642
0,28.28472,1958.284,3602.482,3696
0,13.39803,844.3341,1664.272,1681
2.785836,13.39803,1639.354,3557.826,3609
2.785836,7.443348,962.7805,2288.702,2331
0,2.977339,427.2367,1063.483,1115
0,0,89.8718,261.5552,244
0,1.48867,70.97568,266.4336,276
0,0,17.97436,95.31567,101
0,0,11.52203,98.693,94
0,0,21.20053,358.3719,380
0,0,35.02696,765.9027,762
0,0,24.4267,1235.351,1294
0,0,47.47075,4234.793,4215
0,0,53.4622,5400.721,5530
0,0,49.77515,6264.191,6366
0,0,27.19198,3032.84,3065
0,0,67.74951,6302.092,6336
0,0,48.39251,3960.103,4011
0,0,23.50493,1782.853,1750
0,0,6.913216,432.6731,425
0,0,2.765286,428.17,438
0,0,1.382643,156.4828,168
0,0,0,152.7302,159
212.5136,463.2826,1344.396,1112.225,1158
75.00479,203.6578,986.8133,855.3621,890
48.44059,192.7753,2232.385,2058.181,2142
6.250399,21.76495,332.7571,371.1057,386
3.1252,29.53815,1290.926,1734.373,1805
0,7.773197,937.6397,1574.288,1639
3.1252,17.10103,1518.652,3045.249,3170
0,9.327837,2272.01,5282.798,5574
0,0,254.9387,574.1223,641
0,4.663918,685.0881,2161.872,2438
0,1.554639,158.9786,540.65,641
0,0,282.1513,1613.946,1908
0,0,113.147,1011.445,1171
0,1.554639,63.97338,695.2774,823
0,1.554639,28.6448,560.6606,667
0,0,10.98051,551.201,606
0,0,20.05136,1696.535,1941
0,0,0.477413,304.8888,384
0,0,8.593439,1732.918,1891
0,0,6.206373,1705.995,1920
0,0,8.116026,3739.435,4060
0,0,9.548266,7318.422,7722
0,0,0,858.6366,912
0,0,6.206373,3446.189,3554
0,0,0,875.0089,922
0,0,0,2619.933,2753
0,0,0.954827,1657.241,1744
0,0,0,1145.334,1195
0,0,0,888.1068,955
0,0,0,878.6472,912
226.8976,590.5685,1774.204,1244.248,1341
64.45955,270.7357,1931.091,1453.732,1566
7.735146,53.30547,1168.674,980.6363,1057
5.156764,28.05551,953.9856,1023.166,1102
2.578382,5.611102,332.4912,422.1305,455
0,8.416653,2233.857,4035.371,4389
0,0,146.4283,195.7758,236
0,0,15.96398,21.79192,27
0,0,61.10352,186.9887,278
0,0,133.7672,885.736,1247
0,0,88.62763,863.9441,1289
0,0,24.7717,311.4135,430
0,0,67.15882,2018.916,2644
0,0,421.1189,9589.85,13429
0,0,360.5658,1083.972,3738
0,0,648.468,858.3204,2997
0,0,491.0301,489.9667,1656
0,0,395.2462,477.6648,1509
0,0,127.7119,211.241,618
0,0,596.1722,3154.907,5991
0,0,33.57941,221.434,379
0,0,2.752411,24.60378,44
0,0,10.45916,329.6906,404
0,0,11.00964,1856.179,1914
0,0,3.853375,1976.738,1971
0,0,2.201929,698.7473,677
0,0,0.550482,4186.509,4081
0,0,8.807715,15216.03,20474
0,0,4.403857,1704.69,5531
0,0,8.257233,1258.659,4443
86.68793,276.5157,1594.824,1339.547,1485
48.15996,248.5444,3219.748,2836.929,3145
11.77243,128.6677,2763.237,2811.648,3117
2.140443,19.97946,504.3968,604.3507,670
6.421328,39.15973,2501.006,3559.827,3946
0,13.58603,1754.444,2586.17,2867
0,9.590138,672.2251,1088.446,1207
0,0,33.29201,63.54394,70
0,0.799178,24.62697,56.71126,63
0,0,76.16118,365.2068,405
0,0,15.04981,103.8568,115
0,0.799178,70.23247,1027.977,1140
0,0,159.6192,4369.841,4836
0,0,29.18752,747.1537,863
0,0,53.81449,2125.306,2432
0,0,134.0802,5915.394,6605
0,0,183.7902,5402.943,5882
0,0,44.69339,1048.817,1154
0,0,261.3195,5199.329,5733
0,0,241.2531,3533.521,3899
0,0,123.1348,1433.497,1723
0,0,9.1211,75.50113,85
0,0,1.368165,75.50113,89
0,0,8.665045,537.3904,595
0,0,0.91211,154.077,184
0,0,2.73633,1559.901,1672
0,0,7.29688,6543.659,7166
0,0,1.368165,1172.488,1268
0,0,2.280275,3213.41,3526
0,0,2.73633,8879.753,9833
447.013,993.5068,3475.237,3329.705,3804
211.5925,542.0414,2285.981,2345.612,2722
37.17166,99.06763,576.4251,609.9919,745
64.81212,188.9361,1359.529,1803.397,2071
13.34367,71.47022,780.4492,1192.408,1348
12.39055,67.22446,778.9323,1340.255,1542
5.718717,7.783885,156.6208,315.9599,353
2.859358,16.2754,336.7536,892.7278,1016
