"Prevention 2","Prevention 1","Base Prime",Base,"No Additional Intervention"
277.7455,122.1249,1686.293,1756.474,2646
189.1033,106.1377,5795.595,6206.897,9846
8.864219,14.65499,696.961,484.7228,1728
0,1.332272,126.8117,98.26098,401
5.909479,0.444091,471.0148,412.7902,2401
0,2.664544,1988.729,2631.42,12401
5.909479,1.776363,1650.061,3007.068,7427
0,1.776363,2882.953,7263.32,10017
0,0.888181,1591.688,2197.943,5081
0,2.664544,1475.444,2193.242,5715
0,24.86908,6923.313,9133.1,22922
0,22.20453,1769.828,1966.63,6387
0,32.41862,1106.583,1712.28,5017
0,46.18543,735.709,1878.242,4905
0,103.9172,810.1857,3616.85,7936
0,1062.709,3899.962,13406.75,25312
0,321.5216,707.0254,951.58,3421
0,55.51133,119.2634,182.4175,655
0,229.5949,327.5968,696.2895,3382
0,836.2227,937.5005,3902.7,16159
0,809.5773,897.2429,5040.459,10451
0,1887.829,1880.537,11203.63,14762
0,1335.381,1376.309,4694.9,7594
0,1455.729,1590.178,4764.482,8654
0,8492.79,9582.332,16379.96,34151
0,3001.165,3299.619,2436.308,9389
0,1941.564,2137.179,1744.25,7371
0,1320.726,1540.862,1818.533,7337
0,1488.148,1582.127,4023.529,11691
0,6263.455,7077.802,19748.11,37712
466.9653,404.1018,5287.188,5519.271,8212
75.95219,77.32542,1350.674,1610.046,2357
45.00871,64.21942,2292.706,3315.673,4945
8.439132,16.16407,1092.963,1908.256,2904
2.813044,6.989869,1781.904,3733.835,5566
2.813044,3.058067,648.8985,1640.632,2491
0,3.494934,3531.466,8469.828,13679
2.813044,11.7954,6311.36,2317.817,16084
2.813044,20.09587,4381.605,2111.842,10657
0,14.4166,2217.241,1941.709,5835
8.439132,33.20188,2340.963,5149.376,8765
0,0.436867,19.50803,52.56904,94
0,8.300469,487.7006,3496.797,4348
0,44.99728,1210.524,11258.38,16893
0,96.98443,2352.771,2763.22,16617
0,58.97702,951.7863,841.5825,4457
0,130.6232,1818.867,1890.096,8422
0,69.46182,868.1071,1412.195,4532
0,140.2342,1174.075,4549.611,8254
0,62.47195,390.1605,2430.601,3502
0,334.2031,1638.161,14321.72,20628
0,1167.308,4032.514,4091.305,24162
0,2563.097,5240.472,3584.253,16068
0,2476.161,3267.081,3215.791,8697
0,3631.237,3905.199,8059.789,13101
0,24.46454,22.58824,76.46405,123
0,670.1536,643.7649,5186.652,6592
0,1454.766,1456.942,16972.63,25416
0,2344.664,2561.198,4132.882,24512
0,903.4405,969.7542,1236.328,6746
649.4144,1855.574,5697.124,5617.261,9845
119.629,545.4019,2184.721,1940.593,5211
8.544927,67.42053,527.7805,494.5696,1446
1.708985,1.006277,23.72591,22.86538,66
8.544927,9.056489,1157.728,3796.5,8962
0,8.050212,4503.565,5648.595,15145
0,5.031383,1233.747,696.1237,3424
1.708985,4.025106,3119.231,2207.356,9428
0,0,55.19906,37.2621,155
0,0,8.715641,11.00926,43
0,0,700.6407,7793.283,17245
0,0,2054.954,2009.189,15289
0,0,50.84124,42.76672,264
0,0,4823.623,4822.901,20387
0,0,10547.86,15813.53,31616
0,0,858.4906,4246.185,9496
0,0,81.34598,892.1732,1828
0,0,1.936809,38.5324,74
0,0,7.263034,5167.575,10104
0,0,7.263034,10510.03,22311
0,0,2.905214,1013.698,5117
0,0,10.65245,2203.968,14317
0,0,0,36.41523,237
0,0,0,14.82015,64
0,0,1.936809,9368.03,24206
0,0,9.199843,3565.729,23169
0,0,0.484202,54.19941,388
0,0,27.11533,7143.737,30521
0,0,597.5056,23357.41,47146
0,0,187.3863,6333.286,14265
6.36444,16.80873,590.7515,607.7406,868
1.272888,15.7243,4882.357,5668.445,8729
0,4.879955,1905.515,939.3706,5151
1.272888,9.217693,2069.729,1191.687,5736
0.636444,0.542217,93.91165,83.775,266
1.909332,8.675475,1056.113,4123.812,5399
8.910215,69.94602,5491.471,9066.537,16072
8.910215,68.86159,584.4557,658.303,2065
308.0389,2438.351,1827.342,2516.72,8955
155.9288,963.52,405.0268,920.0379,1819
310.5846,1183.118,341.5446,2116.186,2219
547.9782,1026.417,314.263,3384.213,3433
5138.012,4359.969,2639.494,10735.1,18505
7800.257,5930.23,6689.762,2546.958,12251
1437.727,1659.727,1669.424,1017.693,3484
3037.111,4083.438,3617.959,8472.677,14306
1910.605,2433.471,2123.767,2419.065,7314
2548.322,2667.709,2473.706,3419.408,8379
117.7421,116.5767,110.1757,209.6854,447
873.2011,923.3959,822.6451,6956.795,8393
6361.257,6361.835,5903.842,12741.73,24099
1472.095,1370.183,1347.291,913.098,2949
6557.918,5926.434,5654.636,4196.186,13482
1137.962,1060.577,1031.979,1421.697,2671
770.0972,678.3137,609.6388,3186.424,3222
543.5231,516.733,459.59,5039.884,5078
4227.261,3805.28,3656.259,15924.69,27803
12695.78,11090.51,10768.89,3975.099,18619
3657.007,3059.19,2982.088,1610.066,5386
8052.289,6822.719,6540.238,12724.88,21346
462.6011,840.4255,2160.527,2126.5,3529
104.9198,299.2284,2685.864,2968.649,4927
9.538167,40.63596,1177.279,1438.866,2411
4.769084,29.55342,3867.993,5671.379,9903
9.538167,9.235445,3954.822,2046.682,9182
0,3.694178,1511.981,860.9296,3708
0,27.70633,6298.707,6203.644,18175
0,22.16507,738.2851,1171.667,4754
0,0,15.03734,23.04918,125
0,0,79.06733,477.2034,1658
0,0,63.54491,1753.018,5687
0,0,98.47035,5796.442,12358
0,0,13.09704,941.6017,1568
0,0,192.575,9360.955,17731
0,0,370.1127,1505.88,10312
0,0,1053.584,1725.274,11406
0,0,475.8592,1042.762,4148
0,0,1335.898,6928.413,13357
0,0,1785.078,7311.712,13236
0,0,843.5465,2492.726,5537
0,0,4380.718,10503.6,27643
0,0,1610.936,1523.807,7338
0,0,34.44037,29.45173,150
0,0,133.8809,527.997,2697
0,0,109.6271,2068.45,9109
0,0,161.5302,8390.755,18181
0,0,19.8881,1317.218,2321
0,0,192.575,13374.07,25536
0,0,355.5604,2459.86,15413
0,0,1257.316,3314.387,17481
482.5814,352.5095,4388.356,4847.049,6646
3.955585,6.741985,104.6203,130.6623,164
13.84455,16.37339,1524.245,2162.722,2927
0,5.778844,2320.292,3656.976,5087
0,1.444711,1244.567,2073.349,2802
0,0,3095.104,6033.462,8300
0,0.963141,1545.48,2649.309,3868
0,4.334133,8562.81,11811.87,20749
0,1.444711,212.3482,1224.044,3445
